PaymentNo,ResellerKey,ResellerName,CountryRegionCode,SalesOrderNumber,PaymentDate,PaymentAmount
1001,429,Unusual Bicycle Company,AU,SO51087,9/6/2003 0:00,2860.884
1002,634,Sensible Sports,AU,SO51094,9/6/2003 0:00,6150.2415
1003,123,First Supplies,AU,SO51134,9/6/2003 0:00,5633.8815
1004,177,Plastic Products Manufacturers,AU,SO51152,9/6/2003 0:00,9541.542
1005,664,Eastside Cycle Shop,AU,SO51174,9/6/2003 0:00,334.0575
1006,213,Fast Bike Works,AU,SO51710,10/7/2003 0:00,19566.2445
1007,519,List Price Catalog Company,AU,SO51806,10/7/2003 0:00,15137.1474
1008,159,Uncompromising Quality Co,AU,SO51804,10/7/2003 0:00,868.854
1009,87,Rich Department Store,AU,SO51814,10/7/2003 0:00,62771.3394
1010,357,Quality Bike Sales,AU,SO51840,10/7/2003 0:00,668.115
1011,393,Gears and Parts Company,AU,SO51875,10/7/2003 0:00,42550.221
1012,339,Major Bicycle Store,AU,SO51871,10/7/2003 0:00,200.052
1013,688,Bike Part Wholesalers,AU,SO53468,11/7/2003 0:00,27269.5935
1014,573,Nationwide Supply,AU,SO53485,11/7/2003 0:00,61457.915
1015,640,Liquidation Sales,AU,SO53492,11/7/2003 0:00,18428.355
1016,303,Seaside Bike Works,AU,SO53498,11/7/2003 0:00,1912.446
1017,682,Popular Bike Lines,AU,SO53502,11/7/2003 0:00,33018.9855
1018,249,Helpful Sales and Repair Service,AU,SO53541,11/7/2003 0:00,31226.2239
1019,285,Nearest Bike Store,AU,SO53557,11/7/2003 0:00,400.104
1020,267,Cycle Parts and Accessories,AU,SO53565,11/7/2003 0:00,31154.4774
1021,15,Budget Toy Store,AU,SO53566,11/7/2003 0:00,63669.48
1022,195,Inexpensive Parts Shop,AU,SO53554,11/7/2003 0:00,3671.958
1023,483,Fitness Bike Accessories,AU,SO53555,11/7/2003 0:00,936.4035
1024,69,Online Bike Catalog,AU,SO53588,11/7/2003 0:00,54.942
1025,33,Global Sports Outlet,AU,SO53579,11/7/2003 0:00,1254.048
1026,555,Twin Cycles,AU,SO53594,11/7/2003 0:00,1075.344
1027,429,Unusual Bicycle Company,AU,SO55240,12/7/2003 0:00,890.82
1028,634,Sensible Sports,AU,SO55244,12/7/2003 0:00,5371.434
1029,123,First Supplies,AU,SO55258,12/7/2003 0:00,7154.268
1030,177,Plastic Products Manufacturers,AU,SO55307,12/7/2003 0:00,11888.988
1031,664,Eastside Cycle Shop,AU,SO55327,12/7/2003 0:00,1430.442
1032,213,Fast Bike Works,AU,SO57032,1/7/2004 0:00,18243.51
1033,159,Uncompromising Quality Co,AU,SO57059,1/7/2004 0:00,2860.884
1034,393,Gears and Parts Company,AU,SO57075,1/7/2004 0:00,50982.798
1035,87,Rich Department Store,AU,SO57127,1/7/2004 0:00,25600.722
1036,357,Quality Bike Sales,AU,SO57171,1/7/2004 0:00,1204.692
1037,519,List Price Catalog Company,AU,SO57187,1/7/2004 0:00,18787.878
1038,688,Bike Part Wholesalers,AU,SO58915,2/6/2004 0:00,27568.494
1039,249,Helpful Sales and Repair Service,AU,SO58922,2/6/2004 0:00,27168.33
1040,573,Nationwide Supply,AU,SO58931,2/6/2004 0:00,49114.4002
1041,640,Liquidation Sales,AU,SO58934,2/6/2004 0:00,11375.316
1042,285,Nearest Bike Store,AU,SO58947,2/6/2004 0:00,1807.038
1043,682,Popular Bike Lines,AU,SO58948,2/6/2004 0:00,25386.132
1044,195,Inexpensive Parts Shop,AU,SO58997,2/6/2004 0:00,762.174
1045,303,Seaside Bike Works,AU,SO59001,2/6/2004 0:00,1021.536
1046,33,Global Sports Outlet,AU,SO59004,2/6/2004 0:00,1391.994
1047,15,Budget Toy Store,AU,SO59018,2/6/2004 0:00,40106.82
1048,555,Twin Cycles,AU,SO59045,2/6/2004 0:00,3589.794
1049,69,Online Bike Catalog,AU,SO59062,2/6/2004 0:00,23.484
1050,267,Cycle Parts and Accessories,AU,SO59067,2/6/2004 0:00,27288.846
1051,429,Unusual Bicycle Company,AU,SO61180,3/8/2004 0:00,3490.608
1052,634,Sensible Sports,AU,SO61208,3/8/2004 0:00,9311.562
1053,123,First Supplies,AU,SO61225,3/8/2004 0:00,12485.4
1054,177,Plastic Products Manufacturers,AU,SO61237,3/8/2004 0:00,5115.312
1055,664,Eastside Cycle Shop,AU,SO61245,3/8/2004 0:00,445.41
1056,213,Fast Bike Works,AU,SO63145,4/8/2004 0:00,12058.002
1057,159,Uncompromising Quality Co,AU,SO63164,4/8/2004 0:00,2888.262
1058,87,Rich Department Store,AU,SO63222,4/8/2004 0:00,24673.5
1059,393,Gears and Parts Company,AU,SO63225,4/8/2004 0:00,22806.306
1060,519,List Price Catalog Company,AU,SO63244,4/8/2004 0:00,9691.35
1061,357,Quality Bike Sales,AU,SO63256,4/8/2004 0:00,1331.256
1062,688,Bike Part Wholesalers,AU,SO65172,5/7/2004 0:00,21439.446
1063,249,Helpful Sales and Repair Service,AU,SO65182,5/7/2004 0:00,22227.9
1064,483,Fitness Bike Accessories,AU,SO65190,5/7/2004 0:00,923.214
1065,573,Nationwide Supply,AU,SO65191,5/7/2004 0:00,56396.1462
1066,195,Inexpensive Parts Shop,AU,SO65196,5/7/2004 0:00,4256.964
1067,303,Seaside Bike Works,AU,SO65222,5/7/2004 0:00,445.41
1068,267,Cycle Parts and Accessories,AU,SO65241,5/7/2004 0:00,29173.284
1069,640,Liquidation Sales,AU,SO65247,5/7/2004 0:00,22856.982
