PaymentNo,ResellerKey,ResellerName,CountryRegionCode,SalesOrderNumber,PaymentDate,PaymentAmount
1769,49,Neighborhood Bicycle Storehouse,FR,SO71865,8/7/2004 0:00,214.746
1770,445,First Center,FR,SO71872,8/7/2004 0:00,158.43
1771,553,Accessories Network,FR,SO71870,8/7/2004 0:00,1436.43
1772,319,Cycles Sales and Repair,FR,SO71838,8/7/2004 0:00,11463.684
1773,67,Self-Contained Cycle Parts Company,FR,SO71855,8/7/2004 0:00,323.994
1774,499,Racing Sales and Service,FR,SO71820,8/7/2004 0:00,51603.234
1775,193,Perfect Toys,FR,SO69535,7/7/2004 0:00,109694.4972
1776,85,Roadway Bicycle Supply,FR,SO69531,7/7/2004 0:00,112312.554
1777,103,The Bike Outlet,FR,SO69435,7/7/2004 0:00,26319.786
1778,247,Major Amusement Company,FR,SO69436,7/7/2004 0:00,2181.24
1779,175,Registered Cycle Store,FR,SO69437,7/7/2004 0:00,84651.8803
1780,283,Racing Supply Distributors,FR,SO69415,7/7/2004 0:00,12307.134
1781,632,Ultimate Bicycle Company,FR,SO69447,7/7/2004 0:00,33789.948
1782,614,Favorite Toy Distributor,FR,SO69433,7/7/2004 0:00,60915.72
1783,680,Racing Tours,FR,SO69404,7/7/2004 0:00,5464.0284
1784,638,Metropolitan Equipment,FR,SO69426,7/7/2004 0:00,61244.281
1785,157,Ace Bicycle Supply,FR,SO69428,7/7/2004 0:00,923.388
1786,535,Spa and Exercise Outfitters,FR,SO69464,7/7/2004 0:00,42038.9831
1787,662,Finer Sporting Goods,FR,SO69506,7/7/2004 0:00,7099.608
1788,229,Instant Cycle Store,FR,SO67338,6/7/2004 0:00,2402.436
1789,139,Steel Inc.,FR,SO67339,6/7/2004 0:00,23875.1094
1790,337,Recreation Toy Store,FR,SO67275,6/7/2004 0:00,569.172
1791,355,Spare Parts Co.,FR,SO67276,6/7/2004 0:00,27849.6168
1792,319,Cycles Sales and Repair,FR,SO65286,5/7/2004 0:00,17099.334
1793,499,Racing Sales and Service,FR,SO65253,5/7/2004 0:00,33256.8404
1794,49,Neighborhood Bicycle Storehouse,FR,SO65186,5/7/2004 0:00,119.976
1795,445,First Center,FR,SO65233,5/7/2004 0:00,1376.994
1796,662,Finer Sporting Goods,FR,SO63272,4/8/2004 0:00,9473.472
1797,193,Perfect Toys,FR,SO63282,4/8/2004 0:00,66375.648
1798,85,Roadway Bicycle Supply,FR,SO63284,4/8/2004 0:00,108184.104
1799,638,Metropolitan Equipment,FR,SO63223,4/8/2004 0:00,39929.8584
1800,175,Registered Cycle Store,FR,SO63216,4/8/2004 0:00,45559.8044
1801,103,The Bike Outlet,FR,SO63217,4/8/2004 0:00,28142.442
1802,157,Ace Bicycle Supply,FR,SO63208,4/8/2004 0:00,1391.994
1803,632,Ultimate Bicycle Company,FR,SO63209,4/8/2004 0:00,23994.924
1804,614,Favorite Toy Distributor,FR,SO63204,4/8/2004 0:00,44660.778
1805,283,Racing Supply Distributors,FR,SO63153,4/8/2004 0:00,11642.19
1806,247,Major Amusement Company,FR,SO63161,4/8/2004 0:00,209.97
1807,680,Racing Tours,FR,SO63188,4/8/2004 0:00,3047.946
1808,535,Spa and Exercise Outfitters,FR,SO63179,4/8/2004 0:00,38849.58
1809,139,Steel Inc.,FR,SO61258,3/8/2004 0:00,10879.398
1810,229,Instant Cycle Store,FR,SO61246,3/8/2004 0:00,1409.376
1811,337,Recreation Toy Store,FR,SO61231,3/8/2004 0:00,181.176
1812,355,Spare Parts Co.,FR,SO61216,3/8/2004 0:00,28386.987
1813,445,First Center,FR,SO59000,2/6/2004 0:00,72.876
1814,319,Cycles Sales and Repair,FR,SO58968,2/6/2004 0:00,13938.87
