PaymentNo,ResellerKey,ResellerName,CountryRegionCode,SalesOrderNumber,PaymentDate,PaymentAmount
1904,538,Prosperous Tours,GB,SO46669,9/6/2002 0:00,72634.844
1905,124,Nearby Sporting Goods,GB,SO46939,10/7/2002 0:00,324.4527
1906,484,Downhill Bicycle Specialists,GB,SO47004,10/7/2002 0:00,53201.8748
1907,412,Leisure Clearing House,GB,SO47007,10/7/2002 0:00,4142.6215
1908,430,Uttermost Bike Shop,GB,SO47009,10/7/2002 0:00,49625.5583
1909,340,Nearby Cycle Shop,GB,SO47353,11/7/2002 0:00,38837.034
1910,214,Exclusive Bicycle Mart,GB,SO47059,10/7/2002 0:00,324.4527
1911,574,Area Sheet Metal Supply,GB,SO47060,10/7/2002 0:00,1628.6046
1912,592,Cycling Goods,GB,SO47061,10/7/2002 0:00,14630.8224
1913,683,Oils and Fluids Warehouse,GB,SO47062,10/7/2002 0:00,20513.5344
1914,160,Vigorous Sports Store,GB,SO47388,11/7/2002 0:00,202.332
1915,665,Authentic Sales and Service,GB,SO47445,11/7/2002 0:00,1116.925
1916,322,Tachometers and Accessories,GB,SO47402,11/7/2002 0:00,9680.119
1917,502,Metropolitan Bicycle Supply,GB,SO47451,11/7/2002 0:00,102392.5489
1918,538,Prosperous Tours,GB,SO47721,12/7/2002 0:00,52830.8298
1919,484,Downhill Bicycle Specialists,GB,SO48028,1/7/2003 0:00,32765.4995
1920,412,Leisure Clearing House,GB,SO48032,1/7/2003 0:00,2449.1909
1921,683,Oils and Fluids Warehouse,GB,SO48088,1/7/2003 0:00,11173.6908
1922,214,Exclusive Bicycle Mart,GB,SO48081,1/7/2003 0:00,1466.01
1923,592,Cycling Goods,GB,SO48084,1/7/2003 0:00,3923.9585
1924,574,Area Sheet Metal Supply,GB,SO48086,1/7/2003 0:00,67.539
1925,340,Nearby Cycle Shop,GB,SO48293,2/6/2003 0:00,36285.5636
1926,635,Sports Store,GB,SO48353,2/6/2003 0:00,1529.5854
1927,430,Uttermost Bike Shop,GB,SO48035,1/7/2003 0:00,52295.4773
1928,160,Vigorous Sports Store,GB,SO48329,2/6/2003 0:00,1070.0565
1929,665,Authentic Sales and Service,GB,SO48388,2/6/2003 0:00,182.352
1930,502,Metropolitan Bicycle Supply,GB,SO48389,2/6/2003 0:00,72958.7103
1931,322,Tachometers and Accessories,GB,SO48399,2/6/2003 0:00,2595.6818
1932,538,Prosperous Tours,GB,SO48771,3/9/2003 0:00,30663.3284
1933,484,Downhill Bicycle Specialists,GB,SO49062,4/9/2003 0:00,25710.6223
1934,430,Uttermost Bike Shop,GB,SO49065,4/9/2003 0:00,42740.6653
1935,214,Exclusive Bicycle Mart,GB,SO49162,4/9/2003 0:00,939.588
1936,683,Oils and Fluids Warehouse,GB,SO49164,4/9/2003 0:00,7490.7234
1937,592,Cycling Goods,GB,SO49165,4/9/2003 0:00,6107.322
1938,322,Tachometers and Accessories,GB,SO49461,5/7/2003 0:00,182.352
1939,635,Sports Store,GB,SO49471,5/7/2003 0:00,2525.4469
1940,665,Authentic Sales and Service,GB,SO49546,5/7/2003 0:00,113.97
1941,502,Metropolitan Bicycle Supply,GB,SO49521,5/7/2003 0:00,33205.2526
1942,340,Nearby Cycle Shop,GB,SO49450,5/7/2003 0:00,32730.2215
1943,124,Nearby Sporting Goods,GB,SO50194,7/7/2003 0:00,1409.382
1944,538,Prosperous Tours,GB,SO49891,6/7/2003 0:00,42765.5888
1945,430,Uttermost Bike Shop,GB,SO50244,7/7/2003 0:00,43180.9774
1946,484,Downhill Bicycle Specialists,GB,SO50237,7/7/2003 0:00,30203.4555
1947,214,Exclusive Bicycle Mart,GB,SO50317,7/7/2003 0:00,954.588
1948,683,Oils and Fluids Warehouse,GB,SO50275,7/7/2003 0:00,5128.1681
1949,340,Nearby Cycle Shop,GB,SO50662,8/7/2003 0:00,33980.498
1950,592,Cycling Goods,GB,SO50281,7/7/2003 0:00,4507.6761
1951,160,Vigorous Sports Store,GB,SO50679,8/7/2003 0:00,386.2702
1952,322,Tachometers and Accessories,GB,SO50686,8/7/2003 0:00,1502.9869
1953,665,Authentic Sales and Service,GB,SO50730,8/7/2003 0:00,205.146
1954,502,Metropolitan Bicycle Supply,GB,SO50728,8/7/2003 0:00,44624.0998
1955,232,Exceptional Cycle Services,GB,SO51083,9/6/2003 0:00,9195.1515
1956,34,Cycles Wholesaler & Mfg.,GB,SO51084,9/6/2003 0:00,24004.5465
1957,538,Prosperous Tours,GB,SO51143,9/6/2003 0:00,59805.1921
1958,617,Tubeless Tire Company,GB,SO51738,10/7/2003 0:00,200.052
1959,430,Uttermost Bike Shop,GB,SO51771,10/7/2003 0:00,34352.052
1960,124,Nearby Sporting Goods,GB,SO51787,10/7/2003 0:00,858.9
1961,358,Mail Market,GB,SO51788,10/7/2003 0:00,29.388
1962,412,Leisure Clearing House,GB,SO51768,10/7/2003 0:00,26.724
1963,178,Rampart Amusement Company,GB,SO51785,10/7/2003 0:00,2180.8755
1964,70,Outdoor Aerobic Systems Company,GB,SO51811,10/7/2003 0:00,356.898
1965,250,Express Bike Services,GB,SO51812,10/7/2003 0:00,5194.614
1966,683,Oils and Fluids Warehouse,GB,SO51819,10/7/2003 0:00,7107.954
1967,592,Cycling Goods,GB,SO51820,10/7/2003 0:00,4213.104
1968,520,Metro Metals Co.,GB,SO51823,10/7/2003 0:00,107064.1369
1969,340,Nearby Cycle Shop,GB,SO53455,11/7/2003 0:00,31642.866
1970,448,Action Bicycle Specialists,GB,SO53458,11/7/2003 0:00,98517.3793
1971,574,Area Sheet Metal Supply,GB,SO51870,10/7/2003 0:00,404.664
1972,304,Essential Bike Works,GB,SO53450,11/7/2003 0:00,21.576
1973,142,Riding Cycles,GB,SO53472,11/7/2003 0:00,92643.7419
1974,160,Vigorous Sports Store,GB,SO53495,11/7/2003 0:00,4098.648
1975,322,Tachometers and Accessories,GB,SO53511,11/7/2003 0:00,552.948
1976,88,Closest Bicycle Store,GB,SO53512,11/7/2003 0:00,33664.6185
1977,34,Cycles Wholesaler & Mfg.,GB,SO55236,12/7/2003 0:00,25645.236
1978,232,Exceptional Cycle Services,GB,SO55270,12/7/2003 0:00,6806.376
1979,502,Metropolitan Bicycle Supply,GB,SO53573,11/7/2003 0:00,116814.1379
1980,268,Channel Outlet,GB,SO53574,11/7/2003 0:00,1279.248
1981,52,Instruments and Parts Company,GB,SO53577,11/7/2003 0:00,45596.334
1982,178,Rampart Amusement Company,GB,SO57018,1/7/2004 0:00,1512.762
1983,538,Prosperous Tours,GB,SO55323,12/7/2003 0:00,38601.0373
1984,358,Mail Market,GB,SO57014,1/7/2004 0:00,48.594
1985,430,Uttermost Bike Shop,GB,SO57083,1/7/2004 0:00,28881.966
1986,574,Area Sheet Metal Supply,GB,SO57115,1/7/2004 0:00,323.994
1987,340,Nearby Cycle Shop,GB,SO58905,2/6/2004 0:00,43243.278
1988,448,Action Bicycle Specialists,GB,SO58908,2/6/2004 0:00,71806.032
1989,412,Leisure Clearing House,GB,SO57166,1/7/2004 0:00,72.162
1990,142,Riding Cycles,GB,SO58920,2/6/2004 0:00,85413.8801
1991,250,Express Bike Services,GB,SO57178,1/7/2004 0:00,3990.18
1992,592,Cycling Goods,GB,SO57179,1/7/2004 0:00,8935.044
1993,520,Metro Metals Co.,GB,SO57180,1/7/2004 0:00,70859.34
1994,70,Outdoor Aerobic Systems Company,GB,SO57183,1/7/2004 0:00,1466.01
1995,683,Oils and Fluids Warehouse,GB,SO57184,1/7/2004 0:00,7472.886
1996,160,Vigorous Sports Store,GB,SO58941,2/6/2004 0:00,564.624
1997,88,Closest Bicycle Store,GB,SO58959,2/6/2004 0:00,28856.835
1998,322,Tachometers and Accessories,GB,SO58960,2/6/2004 0:00,5801.934
1999,635,Sports Store,GB,SO59048,2/6/2004 0:00,338.994
2000,52,Instruments and Parts Company,GB,SO59008,2/6/2004 0:00,53598.63
2001,232,Exceptional Cycle Services,GB,SO61194,3/8/2004 0:00,3040.662
2002,538,Prosperous Tours,GB,SO61238,3/8/2004 0:00,22637.0675
2003,34,Cycles Wholesaler & Mfg.,GB,SO61175,3/8/2004 0:00,25882.74
2004,502,Metropolitan Bicycle Supply,GB,SO59064,2/6/2004 0:00,71939.5126
2005,268,Channel Outlet,GB,SO59055,2/6/2004 0:00,353.976
2006,124,Nearby Sporting Goods,GB,SO63126,4/8/2004 0:00,2041.188
2007,430,Uttermost Bike Shop,GB,SO63173,4/8/2004 0:00,26775.474
2008,178,Rampart Amusement Company,GB,SO63186,4/8/2004 0:00,645.462
2009,70,Outdoor Aerobic Systems Company,GB,SO63231,4/8/2004 0:00,1466.01
2010,520,Metro Metals Co.,GB,SO63241,4/8/2004 0:00,54904.38
2011,683,Oils and Fluids Warehouse,GB,SO63242,4/8/2004 0:00,1964.91
2012,340,Nearby Cycle Shop,GB,SO65154,5/7/2004 0:00,26709.588
2013,659,Shipping Specialists,GB,SO63250,4/8/2004 0:00,323.994
2014,214,Exclusive Bicycle Mart,GB,SO63253,4/8/2004 0:00,323.994
2015,592,Cycling Goods,GB,SO63254,4/8/2004 0:00,11546.634
2016,250,Express Bike Services,GB,SO63255,4/8/2004 0:00,1544.97
2017,160,Vigorous Sports Store,GB,SO65214,5/7/2004 0:00,2.748
2018,88,Closest Bicycle Store,GB,SO65224,5/7/2004 0:00,26146.5
2019,448,Action Bicycle Specialists,GB,SO65158,5/7/2004 0:00,67838.2162
2020,142,Riding Cycles,GB,SO65177,5/7/2004 0:00,41107.9184
2021,322,Tachometers and Accessories,GB,SO65254,5/7/2004 0:00,125.982
2022,52,Instruments and Parts Company,GB,SO65282,5/7/2004 0:00,52183.128
2023,34,Cycles Wholesaler & Mfg.,GB,SO67261,6/7/2004 0:00,29064.39
2024,502,Metropolitan Bicycle Supply,GB,SO65319,5/7/2004 0:00,40350
2025,538,Prosperous Tours,GB,SO67343,6/7/2004 0:00,36869.9583
2026,178,Rampart Amusement Company,GB,SO69395,7/7/2004 0:00,890.82
2027,358,Mail Market,GB,SO69392,7/7/2004 0:00,387.918
2028,232,Exceptional Cycle Services,GB,SO67293,6/7/2004 0:00,4348.074
2029,574,Area Sheet Metal Supply,GB,SO69497,7/7/2004 0:00,21.576
2030,683,Oils and Fluids Warehouse,GB,SO69498,7/7/2004 0:00,1544.97
2031,124,Nearby Sporting Goods,GB,SO69470,7/7/2004 0:00,3061.782
2032,430,Uttermost Bike Shop,GB,SO69461,7/7/2004 0:00,31964.604
2033,412,Leisure Clearing House,GB,SO69543,7/7/2004 0:00,356.898
2034,250,Express Bike Services,GB,SO69557,7/7/2004 0:00,2490.18
2035,520,Metro Metals Co.,GB,SO69558,7/7/2004 0:00,77009.3172
2036,214,Exclusive Bicycle Mart,GB,SO69551,7/7/2004 0:00,672.294
2037,592,Cycling Goods,GB,SO69554,7/7/2004 0:00,7133.778
2038,659,Shipping Specialists,GB,SO69555,7/7/2004 0:00,119.976
2039,448,Action Bicycle Specialists,GB,SO71784,8/7/2004 0:00,90341.5338
2040,340,Nearby Cycle Shop,GB,SO71780,8/7/2004 0:00,30600.996
2041,142,Riding Cycles,GB,SO71797,8/7/2004 0:00,65218.8776
