PaymentNo,ResellerKey,ResellerName,CountryRegionCode,SalesOrderNumber,PaymentDate,PaymentAmount
2050,38,Finer Mart,US,SO71919,8/7/2004 0:00,2321.262
2051,674,Discount Tours,US,SO71920,8/7/2004 0:00,2527.128
2052,112,Town Industries,US,SO71911,8/7/2004 0:00,5496.018
2053,39,Fitness Hotel,US,SO71912,8/7/2004 0:00,2995.188
2054,454,Sleek Bikes,US,SO71907,8/7/2004 0:00,50201.256
2055,368,Elemental Sporting Goods,US,SO71909,8/7/2004 0:00,6179.88
2056,277,The Bicycle Accessories Company,US,SO71923,8/7/2004 0:00,97.5688
2057,604,Sellers of Cycles,US,SO71925,8/7/2004 0:00,5416.938
2058,369,Distinctive Cycles Sales & Service,US,SO71927,8/7/2004 0:00,37.254
2059,113,Trendy Department Stores,US,SO71928,8/7/2004 0:00,845.34
2060,503,Metropolitan Sales and Rental,US,SO71929,8/7/2004 0:00,48.594
2061,543,Friendly Neighborhood Bikes,US,SO71930,8/7/2004 0:00,3047.946
2062,400,Local Sales and Rental,US,SO71931,8/7/2004 0:00,2224.974
2063,20,Central Discount Store,US,SO71932,8/7/2004 0:00,618.51
2064,235,Certified Bicycle Supply,US,SO71941,8/7/2004 0:00,3200.586
2065,55,Kickstands and Accessories Company,US,SO71943,8/7/2004 0:00,35632.992
2066,438,Remarkable Bike Store,US,SO71935,8/7/2004 0:00,5535.2246
2067,179,Fourth Bike Store,US,SO71947,8/7/2004 0:00,34063.824
2068,170,Excellent Riding Supplies,US,SO71948,8/7/2004 0:00,80450.376
2069,54,Larger Cycle Shop,US,SO71949,8/7/2004 0:00,34208.4877
2070,98,Superlative Bikes,US,SO71950,8/7/2004 0:00,3131.934
2071,602,Ultimate Bike Shop,US,SO71951,8/7/2004 0:00,1502.976
2072,490,Extraordinary Bike Works,US,SO71952,8/7/2004 0:00,67404.9015
2073,109,Travel Sports,US,SO71886,8/7/2004 0:00,29178.7066
2074,695,Responsible Bike Dealers,US,SO71887,8/7/2004 0:00,3678.816
2075,44,Games and Sport Supply Company,US,SO71888,8/7/2004 0:00,4346.082
2076,3,Advanced Bike Components,US,SO71889,8/7/2004 0:00,26676.7004
2077,5,Metropolitan Sports Supply,US,SO71890,8/7/2004 0:00,9003.912
2078,542,Finer Parts Shop,US,SO71880,8/7/2004 0:00,31923.918
2079,75,Paint Supply,US,SO71882,8/7/2004 0:00,31921.788
2080,544,Valley Bicycle Specialists,US,SO71884,8/7/2004 0:00,38453.988
2081,25,Coalition Bike Company,US,SO71899,8/7/2004 0:00,1901.406
2082,165,Third Bike Store,US,SO71901,8/7/2004 0:00,2127.522
2083,308,Rugged Bikes,US,SO71904,8/7/2004 0:00,57820.932
2084,163,Sports Merchandise,US,SO71893,8/7/2004 0:00,41471.694
2085,539,Glossy Bikes,US,SO71894,8/7/2004 0:00,70205.79
2086,648,Small Bike Shop,US,SO71896,8/7/2004 0:00,40429.656
2087,223,Paints and Solvents Company,US,SO71897,8/7/2004 0:00,10585.05
2088,627,Exchange Parts Inc.,US,SO71866,8/7/2004 0:00,32372.328
2089,59,Locks Company,US,SO71848,8/7/2004 0:00,12563.676
2090,477,Quitting Business Distributors,US,SO71850,8/7/2004 0:00,7912.014
