PaymentNo,ResellerKey,ResellerName,CountryRegionCode,SalesOrderNumber,PaymentDate,PaymentAmount
1100,262,General Industries,CA,SO71921,8/7/2004 0:00,552.9148
1101,655,Operational Manufacturing,CA,SO71906,8/7/2004 0:00,352.386
1102,190,Racing Partners,CA,SO71916,8/7/2004 0:00,1637.232
1103,372,Top Bike Market,CA,SO71891,8/7/2004 0:00,1932.432
1104,244,Retail Discount Store,CA,SO71877,8/7/2004 0:00,672.294
1105,407,Workout Emporium,CA,SO71878,8/7/2004 0:00,6450.678
1106,30,Cycle Merchants,CA,SO71868,8/7/2004 0:00,1418.13
1107,172,Certified Sports Supply,CA,SO71869,8/7/2004 0:00,105.294
1108,550,Remote Bicycle Specialists,CA,SO71871,8/7/2004 0:00,1709.316
1109,154,Camping and Sports Store,CA,SO71847,8/7/2004 0:00,89981.79
1110,118,Rapid Bikes,CA,SO71851,8/7/2004 0:00,38392.1143
1111,613,Famous Bike Shop,CA,SO71853,8/7/2004 0:00,3539.874
1112,424,Bikes for Two,CA,SO71804,8/7/2004 0:00,1626.612
1113,10,Rural Cycle Emporium,CA,SO71841,8/7/2004 0:00,83874.4098
1114,460,Price-Cutter Discount Bikes,CA,SO71842,8/7/2004 0:00,10.788
1115,48,Grand Industries,CA,SO71828,8/7/2004 0:00,39348.252
1116,685,Family Cycle Store,CA,SO71829,8/7/2004 0:00,29908.0848
1117,587,Our Sporting Goods Store,CA,SO71814,8/7/2004 0:00,5573.904
1118,228,Home Town Bike Store,CA,SO71817,8/7/2004 0:00,518.304
1119,497,Valley Toy Store,CA,SO71806,8/7/2004 0:00,14909.193
1120,443,Courteous Bicycle Specialists,CA,SO71807,8/7/2004 0:00,494.004
1121,408,Odometers and Accessories Company,CA,SO71808,8/7/2004 0:00,32176.4946
1122,282,Quick Parts and Service,CA,SO71800,8/7/2004 0:00,27995.85
1123,155,Corner Bicycle Supply,CA,SO71792,8/7/2004 0:00,50941.334
1124,678,Vigorous Exercise Company,CA,SO71794,8/7/2004 0:00,65233.3999
1125,637,Reliable Retail Center,CA,SO71788,8/7/2004 0:00,1365.582
1126,630,Eastside Parts Shop,CA,SO71789,8/7/2004 0:00,105.294
1127,173,Sundry Sporting Goods,CA,SO71781,8/7/2004 0:00,22057.986
1128,47,Greater Bike Store,CA,SO71786,8/7/2004 0:00,3593.868
1129,532,The Showroom,CA,SO69548,7/7/2004 0:00,63.168
1130,100,Up-To-Date Sports,CA,SO69560,7/7/2004 0:00,31101.4668
1131,629,Efficient Cycling,CA,SO69537,7/7/2004 0:00,1493.166
1132,444,Finer Cycle Shop,CA,SO69538,7/7/2004 0:00,4881.234
1133,263,Farthest Bike Store,CA,SO69540,7/7/2004 0:00,44265.3656
1134,317,Finer Riding Supplies,CA,SO69542,7/7/2004 0:00,26034.912
1135,570,Family's Favorite Bike Shop,CA,SO69490,7/7/2004 0:00,1054.938
1136,84,Rewarding Activities Company,CA,SO69522,7/7/2004 0:00,25458.4476
1137,352,Twelfth Bike Store,CA,SO69520,7/7/2004 0:00,50008.593
1138,334,Retreat Inn,CA,SO69469,7/7/2004 0:00,672.294
1139,479,General Supplies,CA,SO69478,7/7/2004 0:00,23913.45
1140,552,Consolidated Messenger,CA,SO69479,7/7/2004 0:00,25584.184
1141,138,South Bike Company,CA,SO69482,7/7/2004 0:00,20373.756
1142,462,General Riding Supplies,CA,SO69483,7/7/2004 0:00,1376.994
1143,280,Standard Bikes,CA,SO69455,7/7/2004 0:00,2076.54
1144,677,Tire Exchange,CA,SO69432,7/7/2004 0:00,649.14
1145,210,Gasless Cycle Shop,CA,SO69396,7/7/2004 0:00,6187.308
1146,64,Metal Clearing House,CA,SO69397,7/7/2004 0:00,26194.974
1147,28,Commuter Bicycle Store,CA,SO69398,7/7/2004 0:00,868.89
1148,264,Fasteners & Bolts Outlet,CA,SO69399,7/7/2004 0:00,28806.31
1149,12,Bikes and Motorbikes,CA,SO69401,7/7/2004 0:00,18311.3992
1150,65,Metro Manufacturing,CA,SO69389,7/7/2004 0:00,5105.568
1151,390,Plastic Parts Company,CA,SO69390,7/7/2004 0:00,26.724
1152,353,Two-Wheeled Transit Company,CA,SO69391,7/7/2004 0:00,4256.964
1153,425,Bikes for Kids and Adults,CA,SO67319,6/7/2004 0:00,3173.928
1154,227,Health Spa Limited,CA,SO67304,6/7/2004 0:00,58150.7757
1155,679,Superb Sales and Repair,CA,SO67285,6/7/2004 0:00,429.06
1156,120,Machines & Cycles Store,CA,SO67286,6/7/2004 0:00,11802.564
1157,480,General Bike Corporation,CA,SO67288,6/7/2004 0:00,4393.662
1158,245,Leather Seat Factory,CA,SO67295,6/7/2004 0:00,62850.5799
1159,442,Original Bicycle Supply Company,CA,SO67302,6/7/2004 0:00,44879.682
1160,299,Citywide Service and Repair,CA,SO67268,6/7/2004 0:00,35534.1845
1161,514,Retail Mall,CA,SO67270,6/7/2004 0:00,58912.8984
1162,119,Red Bicycle Company,CA,SO67272,6/7/2004 0:00,24103.1964
1163,262,General Industries,CA,SO65284,5/7/2004 0:00,179.028
1164,190,Racing Partners,CA,SO65290,5/7/2004 0:00,1028.472
1165,587,Our Sporting Goods Store,CA,SO65264,5/7/2004 0:00,6943.506
1166,47,Greater Bike Store,CA,SO65171,5/7/2004 0:00,4718.898
1167,172,Certified Sports Supply,CA,SO65240,5/7/2004 0:00,218.454
1168,48,Grand Industries,CA,SO65243,5/7/2004 0:00,17152.5
1169,228,Home Town Bike Store,CA,SO65231,5/7/2004 0:00,445.41
1170,685,Family Cycle Store,CA,SO65235,5/7/2004 0:00,26765.79
1171,10,Rural Cycle Emporium,CA,SO65206,5/7/2004 0:00,69041.2642
1172,550,Remote Bicycle Specialists,CA,SO65216,5/7/2004 0:00,5108.364
1173,637,Reliable Retail Center,CA,SO65217,5/7/2004 0:00,1466.01
1174,282,Quick Parts and Service,CA,SO65218,5/7/2004 0:00,24598.302
1175,407,Workout Emporium,CA,SO65197,5/7/2004 0:00,1430.442
1176,443,Courteous Bicycle Specialists,CA,SO65187,5/7/2004 0:00,445.41
1177,497,Valley Toy Store,CA,SO65188,5/7/2004 0:00,15054.924
1178,408,Odometers and Accessories Company,CA,SO65189,5/7/2004 0:00,32766.118
1179,30,Cycle Merchants,CA,SO65192,5/7/2004 0:00,358.272
1180,424,Bikes for Two,CA,SO65185,5/7/2004 0:00,1225.428
1181,155,Corner Bicycle Supply,CA,SO65173,5/7/2004 0:00,65623.4184
1182,678,Vigorous Exercise Company,CA,SO65174,5/7/2004 0:00,45169.896
1183,630,Eastside Parts Shop,CA,SO65169,5/7/2004 0:00,12.144
1184,613,Famous Bike Shop,CA,SO65162,5/7/2004 0:00,4634.91
1185,154,Camping and Sports Store,CA,SO65163,5/7/2004 0:00,59234.838
1186,118,Rapid Bikes,CA,SO65164,5/7/2004 0:00,24805.492
1187,352,Twelfth Bike Store,CA,SO63266,4/8/2004 0:00,39392.346
1188,629,Efficient Cycling,CA,SO63267,4/8/2004 0:00,1337.604
1189,100,Up-To-Date Sports,CA,SO63290,4/8/2004 0:00,26673.846
1190,173,Sundry Sporting Goods,CA,SO65156,5/7/2004 0:00,30238.236
1191,84,Rewarding Activities Company,CA,SO63239,4/8/2004 0:00,15360.972
1192,317,Finer Riding Supplies,CA,SO63174,4/8/2004 0:00,25409.34
1193,677,Tire Exchange,CA,SO63207,4/8/2004 0:00,293.958
1194,280,Standard Bikes,CA,SO63169,4/8/2004 0:00,4298.958
1195,478,Major Cycling,CA,SO63154,4/8/2004 0:00,1466.01
1196,263,Farthest Bike Store,CA,SO63177,4/8/2004 0:00,44907.516
1197,444,Finer Cycle Shop,CA,SO63178,4/8/2004 0:00,4676.904
1198,570,Family's Favorite Bike Shop,CA,SO63197,4/8/2004 0:00,339.606
1199,390,Plastic Parts Company,CA,SO63119,4/8/2004 0:00,218.454
1200,65,Metro Manufacturing,CA,SO63120,4/8/2004 0:00,209.97
1201,353,Two-Wheeled Transit Company,CA,SO63121,4/8/2004 0:00,167.976
1202,334,Retreat Inn,CA,SO63122,4/8/2004 0:00,192.246
1203,425,Bikes for Kids and Adults,CA,SO61250,3/8/2004 0:00,2921.964
1204,210,Gasless Cycle Shop,CA,SO63127,4/8/2004 0:00,7879.098
1205,64,Metal Clearing House,CA,SO63128,4/8/2004 0:00,19361.634
1206,479,General Supplies,CA,SO63132,4/8/2004 0:00,33904.482
1207,138,South Bike Company,CA,SO63134,4/8/2004 0:00,7635.72
1208,552,Consolidated Messenger,CA,SO63136,4/8/2004 0:00,37100.58
1209,28,Commuter Bicycle Store,CA,SO63139,4/8/2004 0:00,402.066
1210,264,Fasteners & Bolts Outlet,CA,SO63140,4/8/2004 0:00,18455.454
1211,12,Bikes and Motorbikes,CA,SO63141,4/8/2004 0:00,4241.586
1212,119,Red Bicycle Company,CA,SO61222,3/8/2004 0:00,21286.536
1213,227,Health Spa Limited,CA,SO61179,3/8/2004 0:00,39248.358
1214,120,Machines & Cycles Store,CA,SO61232,3/8/2004 0:00,14427.738
1215,480,General Bike Corporation,CA,SO61215,3/8/2004 0:00,2843.9486
1216,245,Leather Seat Factory,CA,SO61196,3/8/2004 0:00,28038.636
1217,299,Citywide Service and Repair,CA,SO61204,3/8/2004 0:00,22748.73
1218,442,Original Bicycle Supply Company,CA,SO61177,3/8/2004 0:00,21131.946
1219,514,Retail Mall,CA,SO61186,3/8/2004 0:00,32743.566
1220,190,Racing Partners,CA,SO59042,2/6/2004 0:00,3684.858
1221,262,General Industries,CA,SO59037,2/6/2004 0:00,696.8545
1222,372,Top Bike Market,CA,SO59022,2/6/2004 0:00,1830.522
1223,30,Cycle Merchants,CA,SO59002,2/6/2004 0:00,404.664
1224,550,Remote Bicycle Specialists,CA,SO59003,2/6/2004 0:00,3788.304
1225,172,Certified Sports Supply,CA,SO58994,2/6/2004 0:00,24.288
1226,154,Camping and Sports Store,CA,SO58980,2/6/2004 0:00,97647.72
1227,118,Rapid Bikes,CA,SO58981,2/6/2004 0:00,38412.385
1228,637,Reliable Retail Center,CA,SO58985,2/6/2004 0:00,3067.068
1229,613,Famous Bike Shop,CA,SO58978,2/6/2004 0:00,7459.0824
1230,443,Courteous Bicycle Specialists,CA,SO58990,2/6/2004 0:00,1430.442
1231,407,Workout Emporium,CA,SO58955,2/6/2004 0:00,5721.768
1232,48,Grand Industries,CA,SO58956,2/6/2004 0:00,50668.986
1233,685,Family Cycle Store,CA,SO58957,2/6/2004 0:00,33361.911
1234,10,Rural Cycle Emporium,CA,SO58972,2/6/2004 0:00,80841.486
1235,460,Price-Cutter Discount Bikes,CA,SO58973,2/6/2004 0:00,16.182
1236,408,Odometers and Accessories Company,CA,SO58932,2/6/2004 0:00,72304.4357
1237,282,Quick Parts and Service,CA,SO58925,2/6/2004 0:00,24805.836
1238,424,Bikes for Two,CA,SO58929,2/6/2004 0:00,2902.908
1239,497,Valley Toy Store,CA,SO58930,2/6/2004 0:00,39133.98
1240,587,Our Sporting Goods Store,CA,SO58938,2/6/2004 0:00,3482.85
1241,228,Home Town Bike Store,CA,SO58939,2/6/2004 0:00,890.82
1242,678,Vigorous Exercise Company,CA,SO58918,2/6/2004 0:00,61233.3858
1243,173,Sundry Sporting Goods,CA,SO58911,2/6/2004 0:00,27499.866
1244,47,Greater Bike Store,CA,SO58913,2/6/2004 0:00,8387.946
1245,155,Corner Bicycle Supply,CA,SO58914,2/6/2004 0:00,69894.042
1246,100,Up-To-Date Sports,CA,SO57188,1/7/2004 0:00,28343.34
1247,629,Efficient Cycling,CA,SO57159,1/7/2004 0:00,5872.614
1248,352,Twelfth Bike Store,CA,SO57120,1/7/2004 0:00,28637.52
1249,263,Farthest Bike Store,CA,SO57154,1/7/2004 0:00,40518.3488
1250,444,Finer Cycle Shop,CA,SO57155,1/7/2004 0:00,6638.1915
1251,317,Finer Riding Supplies,CA,SO57161,1/7/2004 0:00,28746.594
1252,84,Rewarding Activities Company,CA,SO57122,1/7/2004 0:00,27722.6756
1253,138,South Bike Company,CA,SO57103,1/7/2004 0:00,17844.474
1254,354,Serious Cycles,CA,SO57084,1/7/2004 0:00,323.994
1255,65,Metro Manufacturing,CA,SO57100,1/7/2004 0:00,1117.332
1256,280,Standard Bikes,CA,SO57079,1/7/2004 0:00,10319.886
1257,570,Family's Favorite Bike Shop,CA,SO57071,1/7/2004 0:00,595.338
1258,390,Plastic Parts Company,CA,SO57092,1/7/2004 0:00,32.394
1259,479,General Supplies,CA,SO57093,1/7/2004 0:00,38991.894
1260,334,Retreat Inn,CA,SO57095,1/7/2004 0:00,1466.01
1261,552,Consolidated Messenger,CA,SO57097,1/7/2004 0:00,35695.74
1262,478,Major Cycling,CA,SO57047,1/7/2004 0:00,48.594
1263,677,Tire Exchange,CA,SO57057,1/7/2004 0:00,5388.4635
1264,210,Gasless Cycle Shop,CA,SO57016,1/7/2004 0:00,4937.514
1265,353,Two-Wheeled Transit Company,CA,SO57013,1/7/2004 0:00,5885.922
1266,64,Metal Clearing House,CA,SO57019,1/7/2004 0:00,24430.38
1267,28,Commuter Bicycle Store,CA,SO57021,1/7/2004 0:00,221.946
1268,12,Bikes and Motorbikes,CA,SO57023,1/7/2004 0:00,35219.1312
1269,264,Fasteners & Bolts Outlet,CA,SO57024,1/7/2004 0:00,27089.358
1270,425,Bikes for Kids and Adults,CA,SO55308,12/7/2003 0:00,1628.958
1271,442,Original Bicycle Supply Company,CA,SO55283,12/7/2003 0:00,35803.5802
1272,245,Leather Seat Factory,CA,SO55275,12/7/2003 0:00,64716.3252
1273,227,Health Spa Limited,CA,SO55280,12/7/2003 0:00,68404.626
1274,119,Red Bicycle Company,CA,SO55287,12/7/2003 0:00,40621.9686
1275,679,Superb Sales and Repair,CA,SO55262,12/7/2003 0:00,373.08
1276,120,Machines & Cycles Store,CA,SO55263,12/7/2003 0:00,9699.63
1277,480,General Bike Corporation,CA,SO55266,12/7/2003 0:00,3344.214
1278,299,Citywide Service and Repair,CA,SO55243,12/7/2003 0:00,32713.0005
1279,514,Retail Mall,CA,SO55245,12/7/2003 0:00,68250.7748
1280,460,Price-Cutter Discount Bikes,CA,SO53597,11/7/2003 0:00,2042.562
1281,228,Home Town Bike Store,CA,SO53553,11/7/2003 0:00,370.794
1282,262,General Industries,CA,SO53600,11/7/2003 0:00,3949.1485
1283,372,Top Bike Market,CA,SO53572,11/7/2003 0:00,2259.708
1284,587,Our Sporting Goods Store,CA,SO53558,11/7/2003 0:00,1249.65
1285,613,Famous Bike Shop,CA,SO53542,11/7/2003 0:00,5950.9362
1286,630,Eastside Parts Shop,CA,SO53544,11/7/2003 0:00,1574.442
1287,550,Remote Bicycle Specialists,CA,SO53545,11/7/2003 0:00,3650.478
1288,10,Rural Cycle Emporium,CA,SO53527,11/7/2003 0:00,74130.523
1289,190,Racing Partners,CA,SO53528,11/7/2003 0:00,3928.4562
1290,154,Camping and Sports Store,CA,SO53535,11/7/2003 0:00,106905.1185
1291,118,Rapid Bikes,CA,SO53536,11/7/2003 0:00,43388.5189
1292,407,Workout Emporium,CA,SO53507,11/7/2003 0:00,4780.284
1293,48,Grand Industries,CA,SO53508,11/7/2003 0:00,36687.3105
1294,685,Family Cycle Store,CA,SO53510,11/7/2003 0:00,44442.126
1295,30,Cycle Merchants,CA,SO53488,11/7/2003 0:00,70.644
1296,172,Certified Sports Supply,CA,SO53486,11/7/2003 0:00,4949.682
1297,282,Quick Parts and Service,CA,SO53477,11/7/2003 0:00,26294.847
1298,443,Courteous Bicycle Specialists,CA,SO53481,11/7/2003 0:00,242.4
1299,424,Bikes for Two,CA,SO53482,11/7/2003 0:00,1475.634
1300,408,Odometers and Accessories Company,CA,SO53483,11/7/2003 0:00,62437.2508
1301,497,Valley Toy Store,CA,SO53484,11/7/2003 0:00,28063.185
1302,47,Greater Bike Store,CA,SO53463,11/7/2003 0:00,2910.8382
1303,155,Corner Bicycle Supply,CA,SO53464,11/7/2003 0:00,64154.699
1304,678,Vigorous Exercise Company,CA,SO53465,11/7/2003 0:00,84830.6523
1305,173,Sundry Sporting Goods,CA,SO53456,11/7/2003 0:00,26817.7222
1306,84,Rewarding Activities Company,CA,SO51839,10/7/2003 0:00,42936.1688
1307,444,Finer Cycle Shop,CA,SO51843,10/7/2003 0:00,9759.948
1308,263,Farthest Bike Store,CA,SO51850,10/7/2003 0:00,69331.0781
1309,629,Efficient Cycling,CA,SO51851,10/7/2003 0:00,3862.5465
1310,352,Twelfth Bike Store,CA,SO51832,10/7/2003 0:00,44224.5833
1311,100,Up-To-Date Sports,CA,SO51818,10/7/2003 0:00,39731.712
1312,552,Consolidated Messenger,CA,SO51791,10/7/2003 0:00,30032.643
1313,479,General Supplies,CA,SO51793,10/7/2003 0:00,31666.098
1314,334,Retreat Inn,CA,SO51692,10/7/2003 0:00,672.294
1315,353,Two-Wheeled Transit Company,CA,SO51694,10/7/2003 0:00,2061.582
1316,210,Gasless Cycle Shop,CA,SO51698,10/7/2003 0:00,5836.104
1317,64,Metal Clearing House,CA,SO51699,10/7/2003 0:00,23919.027
1318,28,Commuter Bicycle Store,CA,SO51702,10/7/2003 0:00,1506.564
1319,12,Bikes and Motorbikes,CA,SO51703,10/7/2003 0:00,50840.9288
1320,264,Fasteners & Bolts Outlet,CA,SO51704,10/7/2003 0:00,26053.497
1321,478,Major Cycling,CA,SO51727,10/7/2003 0:00,858.9
1322,677,Tire Exchange,CA,SO51740,10/7/2003 0:00,3495.654
1323,570,Family's Favorite Bike Shop,CA,SO51754,10/7/2003 0:00,461.694
1324,335,Scratch-Resistant Finishes Company,CA,SO51756,10/7/2003 0:00,31.584
1325,280,Standard Bikes,CA,SO51766,10/7/2003 0:00,8126.436
1326,317,Finer Riding Supplies,CA,SO51772,10/7/2003 0:00,43789.848
1327,390,Plastic Parts Company,CA,SO51779,10/7/2003 0:00,63.9
1328,65,Metro Manufacturing,CA,SO51781,10/7/2003 0:00,6857.886
1329,138,South Bike Company,CA,SO51786,10/7/2003 0:00,16524.717
1330,425,Bikes for Kids and Adults,CA,SO51156,9/6/2003 0:00,3840.186
1331,245,Leather Seat Factory,CA,SO51124,9/6/2003 0:00,77877.9708
1332,442,Original Bicycle Supply Company,CA,SO51130,9/6/2003 0:00,40912.524
1333,227,Health Spa Limited,CA,SO51132,9/6/2003 0:00,99784.3831
1334,514,Retail Mall,CA,SO51096,9/6/2003 0:00,81788.154
1335,299,Citywide Service and Repair,CA,SO51092,9/6/2003 0:00,49722.233
1336,119,Red Bicycle Company,CA,SO51100,9/6/2003 0:00,35151.162
1337,120,Machines & Cycles Store,CA,SO51113,9/6/2003 0:00,11700.1815
1338,679,Superb Sales and Repair,CA,SO51114,9/6/2003 0:00,672.294
1339,480,General Bike Corporation,CA,SO51116,9/6/2003 0:00,5340.7755
1340,388,Road Way Sales and Rental,CA,SO50660,8/7/2003 0:00,22.794
1341,173,Sundry Sporting Goods,CA,SO50664,8/7/2003 0:00,42464.0041
1342,637,Reliable Retail Center,CA,SO50666,8/7/2003 0:00,94.367
1343,47,Greater Bike Store,CA,SO50667,8/7/2003 0:00,11443.227
1344,678,Vigorous Exercise Company,CA,SO50668,8/7/2003 0:00,59518.6806
1345,424,Bikes for Two,CA,SO50674,8/7/2003 0:00,324.6176
1346,497,Valley Toy Store,CA,SO50676,8/7/2003 0:00,34899.0655
1347,550,Remote Bicycle Specialists,CA,SO50677,8/7/2003 0:00,1910.295
1348,300,Nice Bikes,CA,SO50680,8/7/2003 0:00,1844.5036
1349,685,Family Cycle Store,CA,SO50687,8/7/2003 0:00,37150.2321
1350,10,Rural Cycle Emporium,CA,SO50698,8/7/2003 0:00,26439.9864
1351,588,General Cycle Storehouse,CA,SO50699,8/7/2003 0:00,28921.8866
1352,262,General Industries,CA,SO50700,8/7/2003 0:00,181.6957
1353,155,Corner Bicycle Supply,CA,SO50694,8/7/2003 0:00,95434.9101
1354,613,Famous Bike Shop,CA,SO50708,8/7/2003 0:00,5311.5351
1355,30,Cycle Merchants,CA,SO50710,8/7/2003 0:00,784.2007
1356,118,Rapid Bikes,CA,SO50716,8/7/2003 0:00,31691.9509
1357,245,Leather Seat Factory,CA,SO49848,6/7/2003 0:00,59277.279
1358,442,Original Bicycle Supply Company,CA,SO49855,6/7/2003 0:00,36148.7634
1359,227,Health Spa Limited,CA,SO49856,6/7/2003 0:00,86573.29
1360,119,Red Bicycle Company,CA,SO49860,6/7/2003 0:00,37997.662
1361,679,Superb Sales and Repair,CA,SO49867,6/7/2003 0:00,183.9382
1362,425,Bikes for Kids and Adults,CA,SO49871,6/7/2003 0:00,5292.9001
1363,334,Retreat Inn,CA,SO50190,7/7/2003 0:00,767.7657
1364,210,Gasless Cycle Shop,CA,SO50192,7/7/2003 0:00,5219.0495
1365,653,Mercantile Outlet,CA,SO50195,7/7/2003 0:00,29654.2607
1366,208,Professional Cyclists,CA,SO50197,7/7/2003 0:00,3218.1375
1367,102,National Manufacturing,CA,SO50199,7/7/2003 0:00,23863.0438
1368,389,Sixth Bike Store,CA,SO50202,7/7/2003 0:00,2550.0938
1369,12,Bikes and Motorbikes,CA,SO50203,7/7/2003 0:00,40060.5416
1370,533,Tenth Bike Store,CA,SO50204,7/7/2003 0:00,97597.1168
1371,677,Tire Exchange,CA,SO50223,7/7/2003 0:00,1590.0398
1372,570,Family's Favorite Bike Shop,CA,SO50229,7/7/2003 0:00,2504.5058
1373,335,Scratch-Resistant Finishes Company,CA,SO50233,7/7/2003 0:00,3870.7287
1374,280,Standard Bikes,CA,SO50239,7/7/2003 0:00,1743.454
1375,317,Finer Riding Supplies,CA,SO50246,7/7/2003 0:00,26049.4939
1376,354,Serious Cycles,CA,SO50248,7/7/2003 0:00,894.24
1377,444,Finer Cycle Shop,CA,SO50250,7/7/2003 0:00,2993.1557
1378,65,Metro Manufacturing,CA,SO50261,7/7/2003 0:00,5482.7026
1379,353,Two-Wheeled Transit Company,CA,SO50262,7/7/2003 0:00,182.352
1380,479,General Supplies,CA,SO50265,7/7/2003 0:00,45840.9314
1381,352,Twelfth Bike Store,CA,SO50295,7/7/2003 0:00,25309.3259
1382,478,Major Cycling,CA,SO50271,7/7/2003 0:00,600.2625
1383,84,Rewarding Activities Company,CA,SO50284,7/7/2003 0:00,44805.6489
1384,442,Original Bicycle Supply Company,CA,SO43661,9/6/2001 0:00,32726.4786
1385,227,Health Spa Limited,CA,SO43662,9/6/2001 0:00,28832.5289
1386,514,Retail Mall,CA,SO43668,9/6/2001 0:00,35944.1562
1387,480,General Bike Corporation,CA,SO43679,9/6/2001 0:00,1316.0575
1388,119,Red Bicycle Company,CA,SO43672,9/6/2001 0:00,6124.182
1389,83,Requisite Part Supply,CA,SO43674,9/6/2001 0:00,2624.382
1390,353,Two-Wheeled Transit Company,CA,SO43844,10/7/2001 0:00,20249.94
1391,318,First-Rate Outlet,CA,SO43846,10/7/2001 0:00,919.5201
1392,210,Gasless Cycle Shop,CA,SO43847,10/7/2001 0:00,908.8209
1393,568,Economy Center,CA,SO43852,10/7/2001 0:00,2024.994
1394,208,Professional Cyclists,CA,SO43854,10/7/2001 0:00,1749.588
1395,102,National Manufacturing,CA,SO43855,10/7/2001 0:00,10993.3516
1396,389,Sixth Bike Store,CA,SO43856,10/7/2001 0:00,2036.394
1397,533,Tenth Bike Store,CA,SO43857,10/7/2001 0:00,7186.5371
1398,478,Major Cycling,CA,SO43868,10/7/2001 0:00,2146.962
1399,569,Designated Distributors,CA,SO43879,10/7/2001 0:00,21720.0674
1400,335,Scratch-Resistant Finishes Company,CA,SO43882,10/7/2001 0:00,2024.994
1401,679,Superb Sales and Repair,CA,SO43677,9/6/2001 0:00,7793.1108
1402,317,Finer Riding Supplies,CA,SO43886,10/7/2001 0:00,17358.0101
1403,84,Rewarding Activities Company,CA,SO43898,10/7/2001 0:00,51060.4735
1404,370,Acceptable Sales & Service,CA,SO43893,10/7/2001 0:00,419.4589
1405,173,Sundry Sporting Goods,CA,SO44077,11/7/2001 0:00,6105.3293
1406,118,Rapid Bikes,CA,SO44081,11/7/2001 0:00,37536.9632
1407,47,Greater Bike Store,CA,SO44082,11/7/2001 0:00,2039.994
1408,155,Corner Bicycle Supply,CA,SO44085,11/7/2001 0:00,20644.2343
1409,678,Vigorous Exercise Company,CA,SO44086,11/7/2001 0:00,73761.5266
1410,460,Price-Cutter Discount Bikes,CA,SO44111,11/7/2001 0:00,11641.3209
1411,588,General Cycle Storehouse,CA,SO44112,11/7/2001 0:00,32444.904
1412,172,Certified Sports Supply,CA,SO44094,11/7/2001 0:00,4079.988
1413,498,Quick Delivery Service,CA,SO44104,11/7/2001 0:00,4079.988
1414,354,Serious Cycles,CA,SO43890,10/7/2001 0:00,75191.9599
1415,29,Cross-Country Riding Supplies,CA,SO43891,10/7/2001 0:00,32569.104
1416,442,Original Bicycle Supply Company,CA,SO44282,12/7/2001 0:00,40341.1056
1417,227,Health Spa Limited,CA,SO44283,12/7/2001 0:00,43846.5831
1418,514,Retail Mall,CA,SO44288,12/7/2001 0:00,43803.1432
1419,480,General Bike Corporation,CA,SO44300,12/7/2001 0:00,7802.8815
1420,119,Red Bicycle Company,CA,SO44294,12/7/2001 0:00,62073.5752
1421,83,Requisite Part Supply,CA,SO44295,12/7/2001 0:00,9475.5306
1422,353,Two-Wheeled Transit Company,CA,SO44484,1/7/2002 0:00,8184.876
1423,390,Plastic Parts Company,CA,SO44485,1/7/2002 0:00,4049.988
1424,318,First-Rate Outlet,CA,SO44486,1/7/2002 0:00,603.3971
1425,210,Gasless Cycle Shop,CA,SO44490,1/7/2002 0:00,3389.6981
1426,208,Professional Cyclists,CA,SO44497,1/7/2002 0:00,1195.8158
1427,102,National Manufacturing,CA,SO44498,1/7/2002 0:00,15432.4643
1428,389,Sixth Bike Store,CA,SO44499,1/7/2002 0:00,12170.664
1429,478,Major Cycling,CA,SO44512,1/7/2002 0:00,1677.8356
1430,533,Tenth Bike Store,CA,SO44504,1/7/2002 0:00,19985.7845
1431,569,Designated Distributors,CA,SO44525,1/7/2002 0:00,41473.7958
1432,335,Scratch-Resistant Finishes Company,CA,SO44527,1/7/2002 0:00,6127.782
1433,534,Recommended Bicycles,CA,SO44529,1/7/2002 0:00,419.4589
1434,679,Superb Sales and Repair,CA,SO44298,12/7/2001 0:00,27666.4493
1435,317,Finer Riding Supplies,CA,SO44533,1/7/2002 0:00,19499.7922
1436,354,Serious Cycles,CA,SO44534,1/7/2002 0:00,86452.2757
1437,137,Transportation Options,CA,SO44537,1/7/2002 0:00,57.6808
1438,84,Rewarding Activities Company,CA,SO44547,1/7/2002 0:00,69178.0218
1439,532,The Showroom,CA,SO44560,1/7/2002 0:00,936.6567
1440,173,Sundry Sporting Goods,CA,SO44744,2/6/2002 0:00,29751.2786
1441,118,Rapid Bikes,CA,SO44745,2/6/2002 0:00,26171.9347
1442,47,Greater Bike Store,CA,SO44746,2/6/2002 0:00,14290.1984
1443,155,Corner Bicycle Supply,CA,SO44749,2/6/2002 0:00,45851.7478
1444,678,Vigorous Exercise Company,CA,SO44750,2/6/2002 0:00,88977.3784
1445,460,Price-Cutter Discount Bikes,CA,SO44773,2/6/2002 0:00,20847.928
